area,i,j,cell,bounds,tile,well
78,10.756410256410257,356.6666666666667,1,"(6, 352, 16, 362)",1,A1
72,11.61111111111111,99.27777777777777,2,"(7, 94, 17, 105)",1,A1
115,15.02608695652174,204.0782608695652,3,"(10, 198, 21, 211)",1,A1
128,15.421875,700.0234375,4,"(10, 694, 22, 707)",1,A1
67,14.253731343283581,1029.5671641791046,5,"(10, 1025, 19, 1035)",1,A1
116,16.560344827586206,187.33620689655172,6,"(11, 182, 23, 194)",1,A1
102,16.00980392156863,965.8823529411765,7,"(11, 960, 22, 972)",1,A1
83,16.542168674698797,295.6144578313253,8,"(12, 291, 22, 301)",1,A1
81,17.209876543209877,427.4567901234568,9,"(12, 423, 23, 433)",1,A1
68,16.147058823529413,500.3235294117647,10,"(12, 496, 21, 506)",1,A1
77,17.01298701298701,871.8831168831168,11,"(12, 867, 22, 878)",1,A1
78,16.46153846153846,1060.4102564102564,12,"(12, 1056, 22, 1066)",1,A1
96,17.71875,1147.4895833333333,13,"(13, 1142, 24, 1154)",1,A1
85,18.788235294117648,318.4235294117647,14,"(14, 313, 24, 324)",1,A1
88,19.181818181818183,787.875,15,"(14, 783, 25, 794)",1,A1
68,18.514705882352942,840.8382352941177,16,"(14, 837, 24, 846)",1,A1
80,18.25,925.55,17,"(14, 921, 24, 931)",1,A1
68,17.941176470588236,1086.0588235294117,18,"(14, 1082, 23, 1091)",1,A1
87,19.42528735632184,903.5747126436781,19,"(15, 898, 25, 910)",1,A1
113,19.876106194690266,1104.9823008849557,20,"(15, 1099, 26, 1112)",1,A1
88,21.363636363636363,62.09090909090909,21,"(16, 58, 28, 68)",1,A1
122,21.42622950819672,1132.7295081967213,22,"(16, 1126, 28, 1140)",1,A1
97,21.051546391752577,825.9072164948453,23,"(17, 820, 26, 833)",1,A1
72,22.22222222222222,22.541666666666668,24,"(18, 18, 27, 28)",1,A1
75,21.56,89.18666666666667,25,"(18, 84, 26, 95)",1,A1
116,23.887931034482758,149.86206896551724,26,"(18, 144, 31, 157)",1,A1
94,24.03191489361702,365.531914893617,27,"(18, 361, 31, 371)",1,A1
80,22.975,381.05,28,"(18, 377, 29, 386)",1,A1
105,23.466666666666665,595.6571428571428,29,"(18, 590, 29, 603)",1,A1
68,21.235294117647058,854.5588235294117,30,"(18, 849, 26, 861)",1,A1
75,21.946666666666665,954.9466666666667,31,"(18, 950, 27, 961)",1,A1
91,24.626373626373628,442.31868131868134,32,"(19, 438, 31, 448)",1,A1
74,23.68918918918919,483.1621621621622,33,"(19, 479, 30, 488)",1,A1
74,23.37837837837838,1047.5,34,"(19, 1043, 28, 1053)",1,A1
73,24.671232876712327,1162.4383561643835,35,"(20, 1158, 31, 1168)",1,A1
63,24.6984126984127,49.06349206349206,36,"(21, 45, 30, 54)",1,A1
62,25.516129032258064,111.56451612903226,37,"(21, 108, 31, 116)",1,A1
106,25.77358490566038,165.67924528301887,38,"(21, 160, 32, 172)",1,A1
82,26.536585365853657,331.2926829268293,39,"(21, 327, 33, 336)",1,A1
99,27.19191919191919,1008.3434343434343,40,"(21, 1004, 34, 1014)",1,A1
111,27.54054054054054,399.1081081081081,41,"(22, 394, 34, 405)",1,A1
74,26.68918918918919,914.472972972973,42,"(22, 910, 33, 920)",1,A1
77,26.857142857142858,934.6883116883117,43,"(22, 930, 33, 940)",1,A1
77,26.350649350649352,1187.4155844155844,44,"(22, 1183, 32, 1193)",1,A1
110,30.181818181818183,742.8636363636364,45,"(24, 738, 38, 749)",1,A1
76,30.05263157894737,509.5,46,"(25, 505, 36, 515)",1,A1
136,31.5,656.3676470588235,47,"(25, 651, 39, 663)",1,A1
93,30.752688172043012,993.4301075268817,48,"(25, 989, 38, 999)",1,A1
77,29.31168831168831,1018.9350649350649,49,"(25, 1014, 35, 1025)",1,A1
75,29.12,1031.1333333333334,50,"(25, 1027, 35, 1037)",1,A1
124,30.508064516129032,1139.3467741935483,51,"(25, 1132, 37, 1147)",1,A1
85,30.976470588235294,475.36470588235295,52,"(26, 471, 37, 481)",1,A1
