area,i,j,cell,bounds,tile,well
87,11.735632183908047,1001.4137931034483,1,"(6, 997, 18, 1007)",100,A2
101,12.811881188118813,361.5049504950495,2,"(7, 356, 19, 368)",100,A2
105,12.666666666666666,529.3428571428572,3,"(7, 524, 19, 536)",100,A2
82,11.573170731707316,1119.9512195121952,4,"(7, 1115, 17, 1126)",100,A2
62,12.370967741935484,1036.5967741935483,5,"(8, 1033, 17, 1042)",100,A2
60,13.866666666666667,212.73333333333332,6,"(9, 209, 19, 217)",100,A2
89,14.47191011235955,240.97752808988764,7,"(9, 236, 20, 247)",100,A2
87,13.137931034482758,337.5287356321839,8,"(9, 331, 18, 344)",100,A2
100,14.39,765.14,9,"(9, 760, 21, 771)",100,A2
62,14.596774193548388,704.6935483870968,10,"(10, 701, 20, 710)",100,A2
82,14.731707317073171,886.5731707317074,11,"(10, 882, 20, 892)",100,A2
97,15.628865979381443,283.5257731958763,12,"(11, 278, 22, 290)",100,A2
86,16.569767441860463,1079.1046511627908,13,"(11, 1075, 23, 1084)",100,A2
88,15.852272727272727,1137.6363636363637,14,"(11, 1133, 22, 1144)",100,A2
67,16.567164179104477,225.47761194029852,15,"(12, 222, 22, 230)",100,A2
93,17.21505376344086,633.3763440860215,16,"(12, 628, 23, 640)",100,A2
87,16.804597701149426,149.29885057471265,17,"(13, 144, 22, 156)",100,A2
106,17.764150943396228,547.5377358490566,18,"(13, 542, 24, 554)",100,A2
69,16.73913043478261,784.8550724637681,19,"(13, 780, 22, 791)",100,A2
71,17.64788732394366,1021.7464788732394,20,"(13, 1018, 23, 1027)",100,A2
87,16.96551724137931,1099.287356321839,21,"(13, 1094, 22, 1106)",100,A2
94,19.404255319148938,13.159574468085106,22,"(14, 8, 25, 19)",100,A2
94,19.329787234042552,618.9255319148937,23,"(14, 614, 26, 624)",100,A2
90,20.122222222222224,717.7333333333333,24,"(15, 713, 26, 724)",100,A2
87,20.701149425287355,832.6896551724138,25,"(15, 828, 27, 838)",100,A2
35,17.914285714285715,953.5714285714286,26,"(15, 951, 22, 957)",100,A2
85,20.658823529411766,1061.7058823529412,27,"(15, 1057, 27, 1067)",100,A2
97,21.422680412371133,863.1855670103092,28,"(16, 859, 28, 869)",100,A2
84,21.892857142857142,269.1309523809524,29,"(17, 265, 28, 275)",100,A2
132,22.386363636363637,594.3939393939394,30,"(17, 588, 29, 602)",100,A2
30,20.933333333333334,960.9333333333333,31,"(18, 959, 25, 964)",100,A2
102,22.715686274509803,346.98039215686276,32,"(19, 340, 28, 355)",100,A2
86,25.476744186046513,851.9418604651163,33,"(20, 848, 32, 857)",100,A2
80,24.4875,1046.225,34,"(20, 1041, 31, 1052)",100,A2
126,25.91269841269841,298.8809523809524,35,"(21, 292, 32, 307)",100,A2
67,25.80597014925373,208.26865671641792,36,"(22, 203, 30, 214)",100,A2
122,27.69672131147541,564.0655737704918,37,"(22, 558, 34, 571)",100,A2
76,27.460526315789473,237.69736842105263,38,"(23, 234, 34, 243)",100,A2
94,27.93617021276596,251.24468085106383,39,"(23, 246, 34, 258)",100,A2
96,27.395833333333332,392.0520833333333,40,"(23, 387, 33, 399)",100,A2
109,28.477064220183486,430.45871559633025,41,"(23, 425, 35, 437)",100,A2
134,29.223880597014926,1008.320895522388,42,"(23, 1002, 36, 1015)",100,A2
105,28.742857142857144,482.16190476190474,43,"(24, 476, 34, 489)",100,A2
87,30.126436781609197,1146.0689655172414,44,"(24, 1142, 37, 1151)",100,A2
69,29.594202898550726,224.43478260869566,45,"(25, 221, 35, 229)",100,A2
109,31.321100917431192,736.8073394495412,46,"(25, 732, 38, 743)",100,A2
91,30.703296703296704,839.0439560439561,47,"(25, 835, 37, 844)",100,A2
108,31.72222222222222,446.5925925925926,48,"(26, 442, 39, 453)",100,A2
106,31.82075471698113,992.8962264150944,49,"(26, 988, 39, 999)",100,A2
85,32.305882352941175,1070.6588235294118,50,"(26, 1067, 40, 1075)",100,A2
88,31.056818181818183,1086.2386363636363,51,"(26, 1082, 37, 1092)",100,A2
72,30.13888888888889,1120.263888888889,52,"(26, 1116, 35, 1126)",100,A2
66,30.333333333333332,126.43939393939394,53,"(27, 122, 35, 132)",100,A2
72,31.51388888888889,781.8333333333334,54,"(27, 777, 37, 788)",100,A2
