area,i,j,cell,bounds,tile,well
2636,32.642261001517454,1174.5326251896813,1,"(5, 1142, 61, 1205)",1,A2
1393,27.53338119167265,1682.284278535535,2,"(9, 1659, 48, 1706)",1,A2
1890,51.073015873015876,1602.4031746031746,3,"(26, 1575, 75, 1628)",1,A2
1005,47.865671641791046,454.70049751243783,4,"(29, 437, 68, 473)",1,A2
1295,51.56833976833977,2047.269498069498,5,"(32, 2027, 72, 2069)",1,A2
1045,53.156937799043064,301.8373205741627,6,"(35, 284, 72, 321)",1,A2
1337,59.619296933433056,999.397157816006,7,"(35, 982, 86, 1017)",1,A2
1705,63.23225806451613,126.48387096774194,8,"(36, 106, 90, 147)",1,A2
1113,54.2722371967655,368.75561545372864,9,"(36, 349, 73, 390)",1,A2
2125,61.792941176470585,2326.9750588235293,10,"(38, 2299, 87, 2357)",1,A2
1587,62.25456836798992,185.0252047889099,11,"(39, 165, 85, 211)",1,A2
1353,64.19807834441981,564.6910569105692,12,"(44, 544, 85, 586)",1,A2
1231,68.32250203086922,1462.6604386677498,13,"(47, 1445, 91, 1481)",1,A2
1409,69.6820440028389,1074.4357700496805,14,"(49, 1052, 89, 1100)",1,A2
1493,72.13261888814468,1515.1574012056262,15,"(50, 1494, 95, 1537)",1,A2
2037,73.15905743740795,2166.7830142366224,16,"(50, 2139, 97, 2195)",1,A2
1103,70.39800543970988,243.74433363553945,17,"(52, 226, 91, 263)",1,A2
1427,82.96846531184303,2251.201121233357,18,"(59, 2231, 108, 2273)",1,A2
1618,87.16440049443757,650.0630407911001,19,"(60, 630, 114, 670)",1,A2
1582,77.86599241466499,1388.7844500632111,20,"(62, 1359, 95, 1420)",1,A2
1836,95.66557734204792,780.6726579520697,21,"(70, 758, 122, 804)",1,A2
1142,90.3800350262697,431.78984238178634,22,"(71, 413, 110, 451)",1,A2
1168,93.3638698630137,490.902397260274,23,"(74, 473, 115, 510)",1,A2
1169,97.72882805816937,855.6971770744226,24,"(78, 838, 119, 875)",1,A2
1836,105.10130718954248,163.68355119825708,25,"(79, 140, 131, 187)",1,A2
1971,103.25012683916793,1960.0969051243023,26,"(80, 1933, 127, 1987)",1,A2
1062,101.94538606403013,286.2457627118644,27,"(84, 267, 120, 307)",1,A2
1108,103.43501805054152,340.8835740072202,28,"(84, 324, 124, 359)",1,A2
1543,104.25664290343487,1303.6934543097861,29,"(84, 1280, 126, 1328)",1,A2
1378,105.67924528301887,1623.0087082728592,30,"(84, 1601, 127, 1645)",1,A2
2135,115.26135831381733,2087.9545667447305,31,"(86, 2066, 145, 2112)",1,A2
1293,112.49961330239752,619.0100541376644,32,"(89, 602, 138, 637)",1,A2
1106,105.98372513562387,919.4285714285714,33,"(89, 899, 124, 941)",1,A2
1324,116.81797583081571,1222.5113293051359,34,"(94, 1204, 140, 1243)",1,A2
2136,119.25187265917603,1154.4105805243446,35,"(95, 1126, 144, 1182)",1,A2
1229,115.77949552481692,552.0252237591537,36,"(98, 531, 134, 574)",1,A2
1004,116.85557768924303,392.20019920318725,37,"(99, 374, 134, 412)",1,A2
2111,124.45949786830886,2013.7503552818569,38,"(100, 1987, 150, 2041)",1,A2
1490,121.56241610738255,1066.9463087248323,39,"(101, 1043, 143, 1091)",1,A2
1822,132.62623490669594,1534.291986827662,40,"(107, 1512, 158, 1558)",1,A2
1366,126.64128843338214,1445.5783308931186,41,"(110, 1420, 144, 1472)",1,A2
1212,134.35643564356437,243.67904290429044,42,"(112, 228, 159, 261)",1,A2
1789,136.19452207937394,2262.6819452207938,43,"(112, 2238, 161, 2287)",1,A2
1915,142.40626631853786,2168.6840731070497,44,"(120, 2141, 164, 2196)",1,A2
1319,140.95830174374527,1261.642153146323,45,"(121, 1241, 161, 1283)",1,A2
1241,140.9951651893634,815.5100725221596,46,"(123, 795, 160, 837)",1,A2
1256,142.1799363057325,186.1608280254777,47,"(125, 162, 166, 211)",1,A2
976,141.52868852459017,428.702868852459,48,"(126, 410, 158, 449)",1,A2
1635,150.9920489296636,300.7162079510703,49,"(130, 278, 173, 326)",1,A2
994,148.7394366197183,471.1378269617706,50,"(132, 454, 166, 491)",1,A2
1199,153.59883236030026,982.582151793161,51,"(132, 965, 176, 1001)",1,A2
